epoch,loss
0,0.21310871839523315
1,0.19359201192855835
2,0.188796266913414
3,0.18547311425209045
4,0.18277417123317719
5,0.1804669350385666
6,0.17841868102550507
7,0.1766144037246704
8,0.17499354481697083
9,0.17358380556106567
10,0.1724146604537964
11,0.17132321000099182
12,0.17036813497543335
13,0.1695234477519989
14,0.1686829924583435
15,0.16797542572021484
16,0.16725189983844757
17,0.1666167974472046
18,0.16605153679847717
19,0.16548144817352295
20,0.16497208178043365
21,0.16451391577720642
22,0.16406987607479095
23,0.16369305551052094
24,0.1633368581533432
25,0.16301694512367249
26,0.1626776158809662
27,0.1623874008655548
28,0.16216737031936646
29,0.1618892401456833
30,0.1617310494184494
31,0.16152526438236237
32,0.1612837165594101
