epoch,loss
0,0.5145041942596436
1,0.3487868905067444
2,0.30996987223625183
3,0.2799316942691803
4,0.25804370641708374
5,0.24280041456222534
6,0.2324802130460739
7,0.22475387156009674
8,0.21908162534236908
9,0.214744433760643
10,0.21109142899513245
11,0.20827266573905945
12,0.20570668578147888
13,0.20352400839328766
14,0.2015574425458908
15,0.19985654950141907
16,0.19834110140800476
17,0.19685737788677216
18,0.19570226967334747
19,0.19476042687892914
20,0.1935340315103531
21,0.1925843507051468
22,0.19169774651527405
23,0.19079875946044922
24,0.19004549086093903
25,0.18926319479942322
26,0.18870127201080322
27,0.18806006014347076
28,0.18736454844474792
29,0.1868474781513214
30,0.1862456500530243
31,0.18574579060077667
32,0.18520614504814148
33,0.1846919059753418
34,0.18421830236911774
35,0.18375785648822784
36,0.1833493858575821
37,0.18294067680835724
38,0.18257150053977966
39,0.1822013556957245
40,0.18188433349132538
41,0.18155993521213531
42,0.18113523721694946
43,0.18085113167762756
44,0.18056702613830566
45,0.1801718771457672
46,0.17998911440372467
47,0.17966267466545105
48,0.17939899861812592
49,0.17907485365867615
50,0.1788739264011383
51,0.17863528430461884
52,0.17833565175533295
