Loading corpus from disk /home/jjohn273/git/Hcpcs2Vec/data/corpus.npy
Loaded corpus with length 4714983 in 11.877645254135132
Epoch: 1 	 loss: 3751312.0 	 time: 73.89717364311218
Epoch: 2 	 loss: 3343759.0 	 time: 62.70042562484741
Epoch: 3 	 loss: 3319702.0 	 time: 62.35969090461731
Epoch: 4 	 loss: 3241321.0 	 time: 62.30166697502136
Epoch: 5 	 loss: 3228164.0 	 time: 62.24609136581421
Epoch: 6 	 loss: 2364890.0 	 time: 62.226507902145386
Epoch: 7 	 loss: 2361068.0 	 time: 62.079312562942505
Epoch: 8 	 loss: 2364266.0 	 time: 62.091009855270386
Epoch: 9 	 loss: 2353464.0 	 time: 62.12497901916504
Epoch: 10 	 loss: 2356640.0 	 time: 61.938382625579834
Epoch: 11 	 loss: 2360422.0 	 time: 62.10416793823242
Epoch: 12 	 loss: 2374068.0 	 time: 62.027305364608765
Epoch: 13 	 loss: 1620360.0 	 time: 62.19666051864624
Epoch: 14 	 loss: 1570516.0 	 time: 62.24168348312378
Epoch: 15 	 loss: 1563708.0 	 time: 62.108445167541504
Epoch: 16 	 loss: 1575512.0 	 time: 61.84057879447937
Epoch: 17 	 loss: 1559612.0 	 time: 61.90949320793152
Epoch: 18 	 loss: 1576448.0 	 time: 62.17445135116577
Epoch: 19 	 loss: 1571088.0 	 time: 62.0862398147583
Epoch: 20 	 loss: 1574520.0 	 time: 62.03238797187805
Epoch: 21 	 loss: 1568744.0 	 time: 62.01443290710449
Epoch: 22 	 loss: 1577908.0 	 time: 62.00714182853699
Epoch: 23 	 loss: 1565472.0 	 time: 61.992127895355225
Epoch: 24 	 loss: 1573732.0 	 time: 61.846620321273804
Epoch: 25 	 loss: 1557660.0 	 time: 61.843039989471436
Epoch: 26 	 loss: 1575048.0 	 time: 61.938013553619385
Epoch: 27 	 loss: 1569024.0 	 time: 61.863296031951904
Epoch: 28 	 loss: 1562036.0 	 time: 61.84817624092102
Epoch: 29 	 loss: 1550184.0 	 time: 61.728336811065674
Epoch: 30 	 loss: 1555176.0 	 time: 61.93822693824768
Epoch: 31 	 loss: 1563800.0 	 time: 62.006147623062134
Epoch: 32 	 loss: 1563616.0 	 time: 61.89520263671875
Epoch: 33 	 loss: 1560576.0 	 time: 61.94498562812805
Epoch: 34 	 loss: 966936.0 	 time: 61.92597055435181
