Loading corpus from disk /home/jjohn273/git/Hcpcs2Vec/data/corpus.npy
Loaded corpus with length 5766974 in 14.543221235275269
Epoch: 85 	 loss: 513792.0 	 time: 89.83254671096802
Epoch: 86 	 loss: 503448.0 	 time: 89.82966876029968
Epoch: 87 	 loss: 504728.0 	 time: 89.7362790107727
Epoch: 88 	 loss: 510808.0 	 time: 89.98076272010803
Epoch: 89 	 loss: 511456.0 	 time: 89.8421540260315
Epoch: 90 	 loss: 504144.0 	 time: 89.69251251220703
Epoch: 91 	 loss: 505792.0 	 time: 89.75352764129639
Epoch: 92 	 loss: 502400.0 	 time: 89.88007044792175
Epoch: 93 	 loss: 508496.0 	 time: 89.81626224517822
Epoch: 94 	 loss: 504296.0 	 time: 89.76283144950867
Epoch: 95 	 loss: 506832.0 	 time: 89.72125601768494
Epoch: 96 	 loss: 502936.0 	 time: 89.79123330116272
Epoch: 97 	 loss: 506480.0 	 time: 89.77931618690491
Epoch: 98 	 loss: 499232.0 	 time: 89.78031420707703
Epoch: 99 	 loss: 505528.0 	 time: 89.96678185462952
Epoch: 100 	 loss: 501568.0 	 time: 89.69464349746704
Epoch: 101 	 loss: 495200.0 	 time: 89.73352098464966
Epoch: 102 	 loss: 497432.0 	 time: 89.76726031303406
Epoch: 103 	 loss: 496816.0 	 time: 89.6503598690033
Epoch: 104 	 loss: 495784.0 	 time: 89.68687152862549
Epoch: 105 	 loss: 498048.0 	 time: 89.70766091346741
Epoch: 106 	 loss: 496096.0 	 time: 89.96840620040894
Epoch: 107 	 loss: 494488.0 	 time: 89.73458981513977
Epoch: 108 	 loss: 493416.0 	 time: 89.74281883239746
Epoch: 109 	 loss: 488192.0 	 time: 89.74753499031067
Epoch: 110 	 loss: 489208.0 	 time: 89.77179002761841
Epoch: 111 	 loss: 486472.0 	 time: 89.03995132446289
Epoch: 112 	 loss: 492232.0 	 time: 89.63507318496704
Epoch: 113 	 loss: 490840.0 	 time: 89.64675688743591
Epoch: 114 	 loss: 484528.0 	 time: 89.75514006614685
Epoch: 115 	 loss: 488864.0 	 time: 89.78655076026917
